rin,eng
Basta sanang marumruman mo su unang beses ninyo kami primerong makipot.,I bet you don't remember the first time we met.
Diri ako nagtubod sa kin uno mga pigsabi ni Tom.,I don't believe anything Tom says.
Diri ko pig-iisip sa sadiri si Tom.,I don't think Tom is selfish.
Hate ko a mga pulis na arog niya.,I hate cops like him.
Kintana ako na AKO si Tom.,I hope Tom is OK.
Isi kong uda man ako nagibong sala.,I know that I did nothing wrong.
Isi kong uda man ako ginigibong sala.,I know that I didn't do anything wrong.
Isi kong importante kanato.,I know that this is important for us all.
Isi kong importante kanimo di.,I know that this is important to you.
Isi kong importante adi.,I know that this is important.
Isi kong sabiyon ni Tom na diri niya ako gusto.,I know that Tom says he doesn't like me.
Isi kong pinundo ika ni Tom.,I know Tom let you down.
"Isi kong abo mong si Tom magsupong sa bado mo, pero su ngamin niya biyo ngamin.","I know you didn't want Tom to wear your clothes, but his were all wet."
Isi kong abo mong ikang mabayad utro.,I know you don't ever want to see me again.
Isi kong abo mong kausipon kanako.,I know you don't want to talk to me.
Isi kong diri mo pa 'di ginibo.,I know you haven't done it yet.
Isi kong la mo kabusy.,I know you're busy.
Gusto ko sa ngamin na canting si Tom.,I like all of the songs that Tom sings.
Ipinangako ko na ginibo ko yan bago pagtapos ka bulan.,I promise I'll do that before the end of the month.
Sabi ko magluwas na ika.,I said get out.
Sabi ko magbalik na sana.,I said stay back.
Nabayad ko si Tom nguwan na gab-i.,I saw Tom tonight.
Dapat na 'ko mag-iirungog si papa ko.,I should've listened to my father.
Diri ko dapat sadi.,I shouldn't be here.
Sa silong ko nangbubuot si Tom.,I think Tom is lying.
Sa silong ko a ininga pa si Tom.,I think Tom is still breathing.
Sinim si Tom a tamang lalaki sa trabawo.,I think Tom is the right man for the job.
Sa silong ko naggalin si Tom.,I think Tom left.
Sa silong ko si Tom nabubuot ki Mary.,I think Tom lied to Mary.
Sa silong ko si Tom nasa momento kin Boston.,I think Tom might be in Boston right now.
Sa silong ko ngani maray na ideya ki Tom.,I think Tom might finally have a good idea.
Sa silong ko si Tom a kaipuhan mo.,I think Tom needs your help.
Sa silong ko napa lied ki Tom.,I think Tom was lied to.
Sa isip ko dapat maggalin na kita nguwan.,I think we should leave now.
Pag-una ko narungog na 'ko su boses ni Tom.,I thought I heard Tom's voice.
Naisip ko narungog ko a boses mo.,I thought I heard your voice.
Pag-una ko kanimo na sinabi kong magluog ka concert kuo arani.,I thought I told you that you should get to the concert early.
Naisip kong sinabiyan ika na pu cleanon mo sa kwarto.,I thought I told you to clean your room.
Pag-una ko na sira Tom saka Mary nagigin maray napareyo.,I thought Tom and Mary made such a nice couple.
Pag pig-isip ko na importante mo ki Tom.,I thought you cared about Tom.
Pig-iisip ko na gusto mong si Tom na magngayamon sa ika.,I thought you might want Tom to play golf with you.
Pag-una ko nabasa mo resume ko.,I thought you read my resume.
Pag-una ko na sinabi mo kading agko ika ayam.,I thought you said you had a dog.
Pig-isip ko na sinabi mo kading nag-iistar mo sa Boston.,I thought you said you used to live in Boston.
Pag-iisip ko na mag-istar ika ka 2:30.,I thought you'd be here by 2:30.
Gusto ko kintana ika na mag-iyan kanamo.,I wish you could've come with us.
Gusto ko kintanang mabayad mo su mga bituon ku usad na gab-i.,I wish you could've seen the stars last night.
Isi kong payaba mo 'ko pa man.,I know that you still love me.
"Pwede ngani ki Tom mag-iyan sa concert ko, pero diri niya.","Tom could have come to my concert, but he didn't."
"Pwede ngani si Tom na magbayle ki Mary, pero diri iya.","Tom could have gone to the dance with Mary, but he didn't."
"Pwede ngani ako ki Tom migtabang, kindi diri niya.","Tom could have helped me, but he didn't."
Uda man si Tom a decencyo para mag-adomit na nagrait na niya.,Tom didn't even have the decency to admit that he'd made a mistake.
"Diri sana magtindog sadto, maginibo sa kin uno man.",Don't just stand there. Do something.
Kapaliot na sana ko.,I'm going crazy.
Diri ako mamuya.,I'm not happy.
Diri ako sigurado na ngani ko naintindiyan su pigsasabi ninyo.,I'm not sure I understand what you're saying.
Patawad na kinaudmaan kami ni Tom.,I'm sorry that you and Tom had a fight.
Patawad na diri ika naiintindiyan.,I'm sorry that you don't understand.
Sigurado akong cierto ika.,I'm sure you're right.
Sa unong oras tabi kinatapusan a ninyo klas?,At what time does your class end?
Ngamin normal.,Everything is normal.
Sabi ni Tom na narurungog niya si Mary na nagbabayop nguwan na ramrag sa likod ku ireskwelan nira.,Tom said he heard Mary singing this morning behind the school building.
Si Tom a nagcausar ku uponadan.,Tom is the one who caused the accident.
Pinag-pitad ni Tom su bandera.,Tom hoisted the flag.
Solo kita ngamin.,We're all alone.
Sigurado man ngani kitang nag-iyan san.,We should've gone there ourselves.
Isi namo na biliwan si Tom. that's all we know.,We know that Tom has been shot. That's all we know.
Di mo kaipuwan ng mageskwela nguwan.,You don't need to go to school today.
Makabayaran mo di!,You will pay for this!
Ipprotehir ko ika!,I'll protect you!
Mag-iba a payo mo!,Use your head!
Kayang peligrosa!,It's too dangerous!
Migpalukdan na!,It's going to explode!
"Buko man po a matuod,",It's not true.
Diri malang rarom.,It's not too deep.
Diri posible.,It's not possible.
Buko man an mine.,It's not mine.
Buko nang easy.,It's not going to be easy.
Buko man nang gay easyng makatapos su trabawo na adi sa tamang oras.,It's not going to be easy to finish this job on time.
Kapay kaya ika.,You're weird.
Buko man sana ika a nag-aadal problema ki Tom.,You're not the only one who has had problems with Tom.
Buko man sana ika a bukong abo ki Tom.,You're not the only one who doesn't like Tom.
Buko man sana ika a naka hurt.,You're not the only one that was hurt.
Buko man ika solo.,You're not alone.
Mamumuya ika.,You're funny.
Nangangaturugan ika.,You're dreaming.
Mala mong uyam.,You're annoying.
Isi mo man na nagngabil sa kamaturan si Tom.,You know Tom is telling the truth.
Isi mo man na pigsasaritayan ko a matuod.,You know I'm telling the truth.
Diri mo ko kinatakot.,You don't scare me.
Pwede mong mag-iyan kanako.,You could have come to me.
Pwede mong mamuya.,You could have been happy.
imposible ika.,You are impossible.
Migpakaray man ika.,You are going to be OK.
Dis genius mo.,You are a genius.
Uno kuno problema mo?,What the hell's wrong with you?
Diri mabakal talaga para akong bumakal.,It isn't cheap enough for me to buy.
Mas maray pa kintana kin diri kami ginibo kadto.,It would've been better if we hadn't done that.
Buko man sana yan sinabi ni Tom.,That's not all Tom said.
Buko man an kasalan ko.,That's not my fault.
Buko man an a ngaran ko.,That's not my name.
Buko man an kasalan ni Tom.,That's not Tom's fault.
Buko man an sabiyon ni Tom.,That's not what Tom meant.
Amo yan problema mo.,That's your problem.
Pirang beses na kamo nag-viaje?,How long have you been traveling?
Uno a mga posibilidad na si Tom mag-abot?,What are the chances that Tom will actually come?
Buko man adi sanang joke.,This isn't a joke.
Uda kaya iba makakatabang ki Tom.,Nobody else would help Tom.
Ngamin tataray man sana.,Everything's going to be fine.
Ngamin pigsisilngan si Tom.,Everyone's watching Tom.
Mamuya na everyone's excited.,Everyone's very excited.
Ngamin pigsisilngan si Tom.,Everyone's looking at Tom.
Isi ka ngamin na si Tom a mga taiman sa mga tawo na remalas.,Everyone knows Tom has poor people skills.
Mag-oy ka sabiyon mo ni Tom.,Do what Tom tells you to do.
Pig-uulat si Tom.,Tom is waiting.
Nag-uulat iya.,She is waiting.
Ginibo ko a kaipuwan ko.,I did what I had to do.
"Ulat nguna, Tom!","Wait a minute, Tom!"
Ginibo ko su sinasabi ko.,I did what I was told.
Migsimbag na sana ko su baoy ka natura.,I'm just going to answer the call of nature.
Diri iya sa pani sale.,It's not for sale.
Magkaon ka mga gulayon mo.,Eat your vegetables.
Amo order man.,That's an order.
Mag-ubang ka mga kamot sa angin!,Put your hands up in the air!
Diri ako available.,I'm not available.
"Pwede ko kintanang pupundo si Tom, kindi diri ko.","I could have stopped Tom, but I didn't."
Diri ika bayaan na sana kanako!,Don't leave me alone!
Sari naiyanan kita sadi?,Where do we go from here?
"Kin sana dadarawon 'ko sa pirang taon na mas gurang, biliwan nira 'ko sadto bar.","If only I'd been a couple of years older, they would've let me into the bar."
Si Tom a ngaran ku splash kong warthog.,Tom is the name of my swart warthog.
Sabi ni Tom diri niya narumruman kin uno man su nangyari ku aldow ku onkasiwan.,Tom says that he can't remember anything that happened on the day of the accident.
Purbaran mo adi.,Try this.
Taadi mo kanako kin pauno gibuwon an!,Show me how to do that!
Tabangan mo kanako ta tabangan ko ika.,Help me and I will help you.
Sabi ni Tom na narurungog iya sa putok sa badil.,Tom said he heard gunshots.
Isi man raw ka-Yapan na lengwahe?,Does anyone know the Japanese language?
Gusto ko sanang solo!,I want to be alone!
Sabi ni Tom gusto na mauban sana iya.,Tom said that he wanted to be left alone.
Deadling pungom adi!,It's a deadly poison!
Unong oras a plane mo?,What time is your plane?
"""Pawan ta ginibo si Tom?"" "" Diri ko a pag-iisip.""","""Why did Tom do that?"" ""I have no idea."""
Si Tom a sabi mabi busy na niya 'ding maitabang ki Mary nguwan.,Tom says that he's too busy to help Mary today.
Diri mo pwedeng magluog!,You can't go in there!
Naintindihan ko ngamin nguwan ag piglaot ko na uda na si Tom sadi kanako nguwan.,I understand everything now and I regret that Tom is not here with me now.
Nalingaw ko na su sadiri ko na birthday!,I forgot my own birthday!
Bagana ika si Papa mo.,You look like your father.
Silngan mo di!,Look at this!
Buko man niya a kanakong boyfriend.,He's not my boyfriend.
Diri mo iya silngan!,Don't look at him!
Diri mo iya pagsilong!,Don't look at her!
Gusto kong kausipon si Tom.,I'd like to talk to Tom.
Gusto ko speako ki Tom.,I'd like to speak with Tom.
Gusto ko man sending telegram.,I'd like to send a telegram.
Gusto ko pong isi kin uno nangyari.,I'd like to know what happened.
Gusto kong tabangan ika.,I'd like to help you.
Gusto ko yan ginibo.,I'd like to do that.
Silngan mo yan!,Look at that!
Ako na naman napagmata si Robert.,I reckon it's time to wake up Robert.
Uda na kuno mag-iyan sadto.,No one goes there anymore.
Pig-iisip ko si Tom na magtrabawo ka dayo.,I thought Tom would work on the plumbing.
Pig-iisip ko si Tom na magsisilong ku mga barko na naggalin.,I thought Tom would watch the ships leaving.
Pag-una ko si Tom na gustong magpurbaran sa some Japanese food.,I thought Tom would want to try some Japanese food.
Pag-una ko si Tom na gustong mabayad.,I thought Tom would want to take a look.
Pag-una ko si Tom na gustong mabayad ading pelikula.,I thought Tom would want to see this movie.
Pag-una ko na gusto kuno si Tom na mabisto a pamilya ko.,I thought Tom would want to meet my family.
Pag-una ko na gustong sabiyon ni Tom.,I thought Tom would want to know.
Pig-una ko na gustong kadi si Tom.,I thought Tom would want this one.
Pag-una ko si Tom gusto ka trabawo.,I thought Tom would want the work.
Pig-iisip ko na gusto kuno si Tom sa toast niya.,I thought Tom would want butter on his toast.
Pig-una ko si Tom paiyan sadto lift.,I thought Tom would walk you to the elevator.
Pig-isip ko si Tom na maggagamit sa kanakong opisina.,I thought Tom would use my office.
Pig-iisip ko na maintindiyan si Tom.,I thought Tom would understand.
Pig-iisip ko na si Tom magtabang na kami.,I thought Tom would try to help us.
Pig-iisip ko na magparabisara manungod ki Tom manungod kadto.,I thought Tom would talk about that.
Pig-iisip ko na ipig-iba si Tom si Mary sadto Aquarium.,I thought Tom would take Mary to the aquarium.
Pig-iisip ko na ipig-luwas si Tom ki Mary pag gab-i.,I thought Tom would take Mary out for dinner.
Pag-una ko na mag- walko si Tom bago mag- dinner.,I thought Tom would take a walk before dinner.
Pag-una ko na si Tom nasuoyop ki Mary pa'la iiba iya sa kinatapusan.,I thought Tom would surprise Mary and take her to dinner.
Pig-iisip ko na si Tom mag-pundo.,I thought Tom would stop by.
Pig-iisip ko na si Tom magpupundo tanganing magsabi hello.,I thought Tom would stop by to say hello.
Pig-iisip ko na si Tom magpupundo tanganing pag-checka ka kanamong pag-a progresso.,I thought Tom would stop by to check on our progress.
Pag-una ko na mag-istar si Tom na gatingay.,I thought Tom would stay a little longer.
Pag-una ko na magturog si Tom anggan mudtong tungtong.,I thought Tom would sleep until noon.
Pig-iisip ko na mag-bayad si Tom.,I thought Tom would show up.
Pig-iisip ko na magsabi yan ni Tom.,I thought Tom would say that.
Pig-iisip ko na magsabi hi si Tom.,I thought Tom would say hi.
Pig-iisip ko na magsabi hello si Tom ki Mary.,I thought Tom would say hello to Mary.
Pig-iisip ko na magrumruman si Tom.,I thought Tom would remember.
Pig-isip ko na si Tom magtanom ka mga burak na adto sa gilid ka loog na kawoy.,I thought Tom would plant those flowers near the oak tree.
Pig-iisip ko si Tom na diri magpupundo sa pagparabisara.,I thought Tom would never stop talking.
Pig-iisip ko man si Tom na diri magpabayad.,I thought Tom would never show up.
Pag-una ko si Tom na diri maggalin.,I thought Tom would never leave.
Pig-iisip ko na kaipuwan si Tom sa pag-luwas-luwas ku wanna.,I thought Tom would need help getting in and out of the bathtub.
Pig-iisip ko na si Tom na makibistuwan ki Mary.,I thought Tom would meet Mary.
Pig-iisip ko na mag-imong snacks si Tom para kami.,I thought Tom would make snacks for us.
Pig-iisip ko ki Tom na payaba ka regalo mo kanya.,I thought Tom would love the gift you gave him.
Pig-iisip ko si Tom na magbubuway forever.,I thought Tom would live forever.
Pag-una ko na buot si Tom ki Mary.,I thought Tom would like Mary.
Pag-una ko 'di gusto ni Tom.,I thought Tom would like it.
Pig-isip ko na pigpabayaan ako ni Tom.,I thought Tom would let me go.
Pig-iisip ko na si Tom maggalin ki Mary.,I thought Tom would leave with Mary.
Pig-iisip ko man natagak palan adto parte ni Tom.,I thought Tom would leave that part out.
Pig-iisip ko na isi si Tom kin pauno gibuwon an.,I thought Tom would know how to do that.
"Pig-iisip ko na si Tom na magsigno sana ku kontrato, uda man basang pagbasa sa maray.",I thought Tom would just sign the contract without reading it carefully.
Pig-iisip ko na si Tom narumruman su tag-init nguwan.,I thought Tom would have remembered today's meeting.
Pig-iisip ko na si Tom naaanap si Mary ngowan.,I thought Tom would have found Mary by now.
Pig-iisip ko na piglingaw na 'ko ni Tom ku nguwan.,I thought Tom would have forgotten me by now.
Pig-iisip ko na si Tom mag-iyan sa panga nganing mag-kagbas sa sintabo.,I thought Tom would go to the bank and get some cash.
Pag-una ko na si Tom mag-iyan sa Boston tanganing mabayad si Mary.,I thought Tom would go to Boston to see Mary.
Pag-una ko si Tom na magluog ka road trip.,I thought Tom would go on a road trip.
Pig-iisip ko na tatawan ni Tom su numerot sa telepono ni Mary John.,I thought Tom would give Mary John's phone number.
Pig-iisip ko na si Tom mag-uuna-una sadi.,I thought Tom would get here ahead of us.
Pig-iisip ko si Tom na mig-abot na ki Mary abo kanya.,I thought Tom would eventually realize Mary didn't like him.
